Team,Player,Position,Age,Experience,College,Games_Played,Int_total,Int_avg,Int_max,Solo_total,Solo_avg,Solo_max,Ast_total,Ast_avg,Ast_max,Comb_total,Comb_avg,Comb_max,PD_total,PD_avg,PD_max,FF_total,FF_avg,FF_max,FR_total,FR_avg,FR_max
Rams,Darious Williams,DB,31.0,6,Ala-Birmingham,87,10.0,0.09174311926605505,2.0,211.0,1.9357798165137614,7.0,50.0,0.45871559633027525,3.0,261.0,2.3944954128440368,8.0,66.0,0.6055045871559633,3.0,2.0,0.01834862385321101,1.0,2.0,0.01834862385321101,1.0
Bears,Jaylon Johnson,DB,25.0,4,Utah,62,7.0,0.09210526315789473,2.0,149.0,1.9605263157894737,6.0,36.0,0.47368421052631576,3.0,185.0,2.4342105263157894,7.0,46.0,0.6052631578947368,4.0,3.0,0.039473684210526314,1.0,1.0,0.013157894736842105,1.0
Lions,Brian Branch,DB,23.0,1,Alabama,25,7.0,0.25,2.0,96.0,3.4285714285714284,11.0,39.0,1.3928571428571428,5.0,135.0,4.821428571428571,11.0,26.0,0.9285714285714286,3.0,2.0,0.07142857142857142,1.0,0.0,0.0,0.0
49ers,Deommodore Lenoir,DB,25.0,3,Oregon,58,6.0,0.0967741935483871,1.0,167.0,2.693548387096774,9.0,80.0,1.2903225806451613,5.0,247.0,3.9838709677419355,10.0,23.0,0.3709677419354839,2.0,1.0,0.016129032258064516,1.0,0.0,0.0,0.0
Bears,Kyler Gordon,DB,25.0,2,Washington,34,5.0,0.11627906976744186,1.0,122.0,2.8372093023255816,8.0,47.0,1.0930232558139534,3.0,169.0,3.9302325581395348,10.0,13.0,0.3023255813953488,1.0,1.0,0.023255813953488372,1.0,3.0,0.06976744186046512,1.0
Bears,Tyrique Stevenson,DB,24.0,1,GeorgiaMiami (FL),24,5.0,0.19230769230769232,2.0,96.0,3.6923076923076925,10.0,36.0,1.3846153846153846,4.0,132.0,5.076923076923077,12.0,24.0,0.9230769230769231,4.0,2.0,0.07692307692307693,1.0,0.0,0.0,0.0
Rams,Jaylen McCollough,DB,24.0,Rook,Tennessee,11,4.0,0.36363636363636365,2.0,12.0,1.0909090909090908,3.0,10.0,0.9090909090909091,4.0,22.0,2.0,7.0,4.0,0.36363636363636365,2.0,,,,,,
Rams,Cobie Durant,DB,26.0,2,South Carolina St.,40,4.0,0.08888888888888889,2.0,60.0,1.3333333333333333,6.0,34.0,0.7555555555555555,4.0,94.0,2.088888888888889,7.0,16.0,0.35555555555555557,2.0,1.0,0.022222222222222223,1.0,0.0,0.0,0.0
Rams,Kamren Curl,DB,25.0,4,Arkansas,71,3.0,0.038461538461538464,1.0,295.0,3.782051282051282,9.0,147.0,1.8846153846153846,5.0,442.0,5.666666666666667,12.0,18.0,0.23076923076923078,2.0,2.0,0.02564102564102564,1.0,3.0,0.038461538461538464,1.0
Bears,Jaquan Brisker,DB,25.0,2,LackawannaPenn St.,35,3.0,0.06976744186046512,1.0,162.0,3.7674418604651163,13.0,87.0,2.0232558139534884,5.0,249.0,5.790697674418604,17.0,13.0,0.3023255813953488,2.0,4.0,0.09302325581395349,1.0,2.0,0.046511627906976744,1.0
