Team,Player,Position,Age,Experience,College,Games_Played,Sk_total,Sk_avg,Sk_max,Solo_total,Solo_avg,Solo_max,Ast_total,Ast_avg,Ast_max,Comb_total,Comb_avg,Comb_max,TFL_total,TFL_avg,TFL_max,QBHits_total,QBHits_avg,QBHits_max,FF_total,FF_avg,FF_max,FR_total,FR_avg,FR_max
49ers,Leonard Floyd,DL,32.0,8,Georgia,132,64.5,0.45422535211267606,3.0,245.0,1.7253521126760563,6.0,157.0,1.1056338028169015,5.0,402.0,2.8309859154929575,9.0,69.0,0.4859154929577465,4.0,136.0,0.9577464788732394,5.0,5.0,0.035211267605633804,1.0,7.0,0.04929577464788732,1.0
49ers,Nick Bosa,DL,27.0,5,Ohio St.,78,60.5,0.6436170212765957,3.0,174.0,1.851063829787234,5.0,71.0,0.7553191489361702,5.0,245.0,2.606382978723404,8.0,82.0,0.8723404255319149,4.0,158.0,1.6808510638297873,5.0,11.0,0.11702127659574468,1.0,4.0,0.0425531914893617,1.0
Bears,Montez Sweat,DL,28.0,5,Michigan St.Copiah-Lincoln CCMississippi St.,84,45.0,0.4891304347826087,2.5,147.0,1.5978260869565217,5.0,91.0,0.9891304347826086,4.0,238.0,2.5869565217391304,8.0,56.0,0.6086956521739131,3.0,106.0,1.1521739130434783,4.0,11.0,0.11956521739130435,2.0,0.0,0.0,0.0
Falcons,Grady Jarrett,DL,31.0,9,Clemson,146,36.5,0.2310126582278481,2.5,256.0,1.620253164556962,5.0,223.0,1.4113924050632911,7.0,479.0,3.0316455696202533,8.0,74.0,0.46835443037974683,3.0,123.0,0.7784810126582279,5.0,5.0,0.03164556962025317,2.0,3.0,0.0189873417721519,1.0
Packers,Rashan Gary,DL,27.0,5,Michigan,84,36.0,0.3829787234042553,3.0,119.0,1.2659574468085106,5.0,92.0,0.9787234042553191,4.0,211.0,2.24468085106383,7.0,34.0,0.3617021276595745,3.0,86.0,0.9148936170212766,4.0,6.0,0.06382978723404255,2.0,6.0,0.06382978723404255,1.0
Packers,Kenny Clark,DL,29.0,8,UCLA,134,34.0,0.23943661971830985,2.0,227.0,1.5985915492957747,6.0,175.0,1.232394366197183,5.0,402.0,2.8309859154929575,9.0,49.0,0.34507042253521125,3.0,74.0,0.5211267605633803,3.0,7.0,0.04929577464788732,1.0,8.0,0.056338028169014086,1.0
Giants,Dexter Lawrence,DL,27.0,5,Clemson,91,30.0,0.3191489361702128,3.0,169.0,1.797872340425532,5.0,138.0,1.4680851063829787,5.0,307.0,3.265957446808511,9.0,36.0,0.3829787234042553,2.0,95.0,1.0106382978723405,5.0,5.0,0.05319148936170213,1.0,0.0,0.0,0.0
49ers,Maliek Collins,DL,29.0,8,Nebraska,130,29.5,0.20774647887323944,2.0,140.0,0.9859154929577465,4.0,91.0,0.6408450704225352,4.0,231.0,1.6267605633802817,6.0,49.0,0.34507042253521125,3.0,84.0,0.5915492957746479,3.0,1.0,0.007042253521126761,1.0,8.0,0.056338028169014086,1.0
Falcons,David Onyemata,DL,32.0,8,Manitoba,132,28.0,0.19718309859154928,3.0,171.0,1.204225352112676,5.0,153.0,1.0774647887323943,5.0,324.0,2.2816901408450705,10.0,39.0,0.2746478873239437,2.0,81.0,0.5704225352112676,4.0,3.0,0.02112676056338028,1.0,2.0,0.014084507042253521,1.0
Bears,DeMarcus Walker,DL,30.0,7,Florida St.,92,24.5,0.1975806451612903,2.0,107.0,0.8629032258064516,4.0,66.0,0.532258064516129,7.0,173.0,1.3951612903225807,8.0,34.0,0.27419354838709675,2.0,62.0,0.5,4.0,2.0,0.016129032258064516,1.0,1.0,0.008064516129032258,1.0
Bears,Darrell Taylor,DL,27.0,3,Tennessee,57,23.5,0.39166666666666666,2.5,79.0,1.3166666666666667,7.0,29.0,0.48333333333333334,2.0,108.0,1.8,8.0,24.0,0.4,2.0,40.0,0.6666666666666666,3.0,6.0,0.1,1.0,1.0,0.016666666666666666,1.0
Buccaneers,William Gholston,DL,33.0,11,Michigan St.,180,20.5,0.10789473684210527,2.5,264.0,1.3894736842105264,7.0,167.0,0.8789473684210526,5.0,431.0,2.268421052631579,11.0,59.0,0.3105263157894737,3.0,81.0,0.4263157894736842,3.0,2.0,0.010526315789473684,1.0,3.0,0.015789473684210527,1.0
Bears,Jacob Martin,DL,29.0,6,Temple,96,20.0,0.18518518518518517,1.5,56.0,0.5185185185185185,3.0,38.0,0.35185185185185186,3.0,94.0,0.8703703703703703,4.0,19.0,0.17592592592592593,2.0,36.0,0.3333333333333333,3.0,7.0,0.06481481481481481,1.0,3.0,0.027777777777777776,1.0
49ers,Yetur Gross-Matos,DL,26.0,4,Penn St.,60,14.0,0.1794871794871795,2.5,69.0,0.8846153846153846,4.0,80.0,1.0256410256410255,5.0,149.0,1.9102564102564104,6.0,20.0,0.2564102564102564,2.0,33.0,0.4230769230769231,3.0,2.0,0.02564102564102564,1.0,4.0,0.05128205128205128,2.0
Falcons,Eddie Goldman,DL,30.0,9,Florida St.,92,13.0,0.104,2.0,120.0,0.96,6.0,61.0,0.488,4.0,181.0,1.448,6.0,18.0,0.144,2.0,23.0,0.184,3.0,0.0,0.0,0.0,2.0,0.016,1.0
Buccaneers,Greg Gaines,DL,28.0,5,Washington,85,12.5,0.13297872340425532,2.0,69.0,0.7340425531914894,5.0,84.0,0.8936170212765957,4.0,153.0,1.627659574468085,7.0,13.0,0.13829787234042554,2.0,32.0,0.3404255319148936,2.0,0.0,0.0,0.0,2.0,0.02127659574468085,1.0
Vikings,Jerry Tillery,DL,28.0,5,Notre Dame,90,12.5,0.13440860215053763,1.0,85.0,0.9139784946236559,4.0,83.0,0.8924731182795699,4.0,168.0,1.8064516129032258,7.0,15.0,0.16129032258064516,2.0,44.0,0.4731182795698925,3.0,3.0,0.03225806451612903,1.0,2.0,0.021505376344086023,1.0
Lions,Al-Quadin Muhammad,DL,29.0,7,Miami (FL),87,12.0,0.09917355371900827,2.0,103.0,0.8512396694214877,5.0,54.0,0.4462809917355372,5.0,157.0,1.2975206611570247,7.0,23.0,0.19008264462809918,2.0,34.0,0.2809917355371901,3.0,4.0,0.03305785123966942,1.0,1.0,0.008264462809917356,1.0
Lions,Alim McNeill,DL,24.0,3,North Carolina St.,58,11.5,0.18548387096774194,2.0,64.0,1.032258064516129,5.0,69.0,1.1129032258064515,5.0,133.0,2.1451612903225805,6.0,21.0,0.3387096774193548,3.0,27.0,0.43548387096774194,3.0,2.0,0.03225806451612903,1.0,0.0,0.0,0.0
Packers,Devonte Wyatt,DL,26.0,2,Hutchinson (KS)Georgia,41,10.0,0.2222222222222222,2.0,35.0,0.7777777777777778,4.0,28.0,0.6222222222222222,3.0,63.0,1.4,4.0,12.0,0.26666666666666666,2.0,20.0,0.4444444444444444,3.0,1.0,0.022222222222222223,1.0,3.0,0.06666666666666667,1.0
Buccaneers,Calijah Kancey,DL,23.0,1,Pittsburgh,20,9.0,0.32142857142857145,2.0,36.0,1.2857142857142858,5.0,9.0,0.32142857142857145,2.0,45.0,1.6071428571428572,5.0,18.0,0.6428571428571429,3.0,20.0,0.7142857142857143,3.0,1.0,0.03571428571428571,1.0,1.0,0.03571428571428571,1.0
49ers,Kevin Givens,DL,27.0,5,Penn St.,65,8.0,0.10126582278481013,2.5,50.0,0.6329113924050633,4.0,39.0,0.4936708860759494,3.0,89.0,1.1265822784810127,4.0,18.0,0.22784810126582278,3.0,18.0,0.22784810126582278,3.0,1.0,0.012658227848101266,1.0,2.0,0.02531645569620253,1.0
Cardinals,Dante Stills,DL,25.0,1,West Virginia,25,8.0,0.2857142857142857,1.5,31.0,1.1071428571428572,4.0,46.0,1.6428571428571428,4.0,77.0,2.75,6.0,9.0,0.32142857142857145,2.0,10.0,0.35714285714285715,2.0,1.0,0.03571428571428571,1.0,1.0,0.03571428571428571,1.0
