Team,Player,Position,Age,Experience,College,Games_Played,FGA_total,FGA_avg,FGA_max,FGM_total,FGM_avg,FGM_max,XPA_total,XPA_avg,XPA_max,XPM_total,XPM_avg,XPM_max
49ers,Jake Moody,K,25.0,1,Michigan,25,47.0,1.6785714285714286,6.0,39.0,1.3928571428571428,6.0,78.0,2.7857142857142856,6.0,77.0,2.75,6.0
Bears,Cairo Santos,K,33.0,10,Tulane,142,271.0,1.8435374149659864,7.0,232.0,1.5782312925170068,7.0,313.0,2.129251700680272,6.0,297.0,2.020408163265306,6.0
Buccaneers,Chase McLaughlin,K,28.0,5,Illinois,77,134.0,1.675,5.0,113.0,1.4125,5.0,157.0,1.9625,6.0,153.0,1.9125,6.0
Cardinals,Chad Ryland,K,25.0,1,Eastern MichiganMaryland,24,40.0,1.6666666666666667,4.0,29.0,1.2083333333333333,3.0,38.0,1.5833333333333333,4.0,37.0,1.5416666666666667,4.0
Commanders,Austin Seibert,K,28.0,5,Oklahoma,39,83.0,1.2205882352941178,7.0,70.0,1.0294117647058822,7.0,84.0,1.2352941176470589,5.0,78.0,1.1470588235294117,5.0
Cowboys,Brandon Aubrey,K,29.0,1,Notre Dame,27,64.0,2.3703703703703702,5.0,59.0,2.185185185185185,5.0,66.0,2.4444444444444446,7.0,63.0,2.3333333333333335,7.0
Eagles,Jake Elliott,K,29.0,7,Memphis,123,214.0,1.7258064516129032,5.0,182.0,1.467741935483871,5.0,309.0,2.4919354838709675,7.0,296.0,2.3870967741935485,6.0
Falcons,Younghoe Koo,K,30.0,7,Georgia Southern,89,200.0,2.2222222222222223,5.0,173.0,1.9222222222222223,5.0,177.0,1.9666666666666666,4.0,170.0,1.8888888888888888,4.0
Giants,Graham Gano,K,37.0,15,Florida St.,196,391.0,1.8101851851851851,6.0,327.0,1.5138888888888888,5.0,406.0,1.8796296296296295,6.0,387.0,1.7916666666666667,6.0
Lions,Jake Bates,K,25.0,1,Texas St.Arkansas,11,16.0,1.4545454545454546,4.0,16.0,1.4545454545454546,4.0,43.0,3.909090909090909,7.0,42.0,3.8181818181818183,7.0
Packers,Brandon McManus,K,33.0,10,Temple,167,319.0,1.910179640718563,6.0,260.0,1.5568862275449102,6.0,334.0,2.0,6.0,325.0,1.9461077844311376,6.0
Panthers,Eddy Piñeiro,K,29.0,5,ASA College (FL)Florida,64,117.0,1.7462686567164178,5.0,105.0,1.5671641791044777,4.0,109.0,1.626865671641791,4.0,101.0,1.507462686567164,4.0
Rams,Joshua Karty,K,22.0,Rook,Stanford,11,21.0,1.9090909090909092,6.0,16.0,1.4545454545454546,5.0,23.0,2.090909090909091,4.0,21.0,1.9090909090909092,4.0
Saints,Blake Grupe,K,26.0,1,Arkansas St.Notre Dame,28,56.0,2.0,6.0,48.0,1.7142857142857142,5.0,68.0,2.4285714285714284,6.0,66.0,2.357142857142857,6.0
Seahawks,Jason Myers,K,33.0,9,Marist,148,287.0,1.9391891891891893,7.0,245.0,1.6554054054054055,7.0,367.0,2.47972972972973,7.0,338.0,2.2837837837837838,6.0
Vikings,John Parker Romo,K,27.0,1,Central ArkansasTulsaVirginia Tech,3,8.0,1.0,4.0,8.0,1.0,4.0,6.0,0.75,3.0,5.0,0.625,3.0
