Team,Player,Position,Age,Experience,College,Games_Played,Cmp_total,Cmp_avg,Cmp_max,Att_total,Att_avg,Att_max,Yds_total,Yds_avg,Yds_max,TD_total,TD_avg,TD_max,Int_total,Int_avg,Int_max,Rate_total,Rate_avg,Rate_max
Rams,Matthew Stafford,QB,36.0,15,Georgia,217,5090.0,20.03937007874016,37.0,8034.0,31.62992125984252,63.0,58847.0,231.6811023622047,520.0,372.0,1.4645669291338583,5.0,187.0,0.7362204724409449,5.0,20067.8,79.00708661417323,156.1
Falcons,Kirk Cousins,QB,36.0,12,Michigan St.,161,3710.0,18.009708737864077,42.0,5537.0,26.87864077669903,58.0,42278.0,205.23300970873785,509.0,287.0,1.3932038834951457,4.0,119.0,0.5776699029126213,4.0,15942.1,77.38883495145632,158.3
Saints,Derek Carr,QB,33.0,10,Fresno St.,167,3721.0,21.385057471264368,40.0,5717.0,32.85632183908046,59.0,40842.0,234.72413793103448,513.0,255.0,1.4655172413793103,4.0,111.0,0.6379310344827587,3.0,15639.2,89.88045977011495,145.5
Panthers,Andy Dalton,QB,37.0,13,TCU,176,3514.0,15.82882882882883,35.0,5614.0,25.28828828828829,58.0,39500.0,177.92792792792793,418.0,253.0,1.1396396396396395,5.0,150.0,0.6756756756756757,4.0,15267.3,68.77162162162162,149.6
Lions,Jared Goff,QB,30.0,8,California,128,2880.0,20.281690140845072,45.0,4413.0,31.077464788732396,68.0,33190.0,233.73239436619718,517.0,205.0,1.443661971830986,5.0,91.0,0.6408450704225352,5.0,12261.4,86.34788732394365,158.3
Buccaneers,Baker Mayfield,QB,29.0,6,Oklahoma,100,2017.0,18.336363636363636,37.0,3199.0,29.081818181818182,53.0,23131.0,210.28181818181818,397.0,154.0,1.4,5.0,83.0,0.7545454545454545,4.0,9041.0,82.19090909090909,158.3
Cardinals,Kyler Murray,QB,27.0,5,Texas A&MOklahoma,76,1707.0,18.159574468085108,37.0,2552.0,27.148936170212767,58.0,17990.0,191.38297872340425,406.0,106.0,1.127659574468085,4.0,50.0,0.5319148936170213,3.0,7190.2,76.49148936170212,158.3
Seahawks,Geno Smith,QB,34.0,11,West Virginia,88,1594.0,8.389473684210527,38.0,2482.0,13.063157894736841,56.0,17858.0,93.98947368421052,395.0,96.0,0.5052631578947369,3.0,69.0,0.3631578947368421,3.0,7157.7,37.672105263157896,158.3
Commanders,Marcus Mariota,QB,31.0,9,Oregon,92,1346.0,8.518987341772151,30.0,2144.0,13.569620253164556,44.0,16023.0,101.4113924050633,371.0,95.0,0.6012658227848101,4.0,55.0,0.34810126582278483,4.0,7338.9,46.44873417721519,158.3
Rams,Jimmy Garoppolo,QB,33.0,10,Eastern Illinois,81,1277.0,7.339080459770115,34.0,1895.0,10.89080459770115,46.0,15494.0,89.04597701149426,424.0,94.0,0.5402298850574713,4.0,51.0,0.29310344827586204,3.0,6922.0,39.7816091954023,147.9
