Team,Player,Position,Age,Experience,College,Games_Played,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Fmb_total,Fmb_avg,Fmb_max,FL_total,FL_avg,FL_max
Commanders,Zach Ertz,TE,34.0,11,Stanford,162,1122.0,6.032258064516129,18.0,752.0,4.043010752688172,15.0,7862.0,42.26881720430107,152.0,1735.98,9.333225806451614,38.0,48.0,0.25806451612903225,2.0,10687.0,57.456989247311824,100.0,6.0,0.03225806451612903,1.0,4.0,0.021505376344086023,1.0
Bears,Marcedes Lewis,TE,40.0,18,UCLA,277,737.0,2.4566666666666666,12.0,437.0,1.4566666666666668,7.0,5115.0,17.05,103.0,2233.15,7.443833333333334,47.0,40.0,0.13333333333333333,3.0,13501.5,45.005,100.0,5.0,0.016666666666666666,1.0,3.0,0.01,1.0
Eagles,Dallas Goedert,TE,29.0,6,South Dakota St.,90,461.0,4.229357798165138,12.0,338.0,3.1009174311926606,10.0,3976.0,36.477064220183486,170.0,973.63,8.932385321100917,33.0,23.0,0.21100917431192662,2.0,6350.6,58.26238532110092,100.0,6.0,0.05504587155963303,1.0,3.0,0.027522935779816515,1.0
Bears,Gerald Everett,TE,30.0,7,South Alabama,116,435.0,3.5080645161290325,12.0,291.0,2.346774193548387,8.0,2863.0,23.088709677419356,136.0,1001.99,8.080564516129032,44.0,19.0,0.1532258064516129,2.0,7295.6,58.83548387096774,100.0,7.0,0.056451612903225805,2.0,4.0,0.03225806451612903,2.0
Bears,Cole Kmet,TE,25.0,4,Notre Dame,76,330.0,4.342105263157895,11.0,240.0,3.1578947368421053,10.0,2434.0,32.026315789473685,107.0,672.21,8.844868421052633,26.75,18.0,0.23684210526315788,2.0,4933.6,64.91578947368421,100.0,3.0,0.039473684210526314,1.0,1.0,0.013157894736842105,1.0
Cowboys,Jake Ferguson,TE,25.0,2,Wisconsin,42,182.0,4.136363636363637,11.0,133.0,3.022727272727273,7.0,1304.0,29.636363636363637,95.0,363.22,8.255,35.0,7.0,0.1590909090909091,1.0,2958.2,67.23181818181818,100.0,3.0,0.06818181818181818,1.0,1.0,0.022727272727272728,1.0
Lions,Sam LaPorta,TE,23.0,1,Iowa,27,158.0,5.642857142857143,12.0,114.0,4.071428571428571,9.0,1274.0,45.5,140.0,349.16,12.47,52.0,13.0,0.4642857142857143,3.0,2025.3,72.33214285714286,100.0,,,,,,
Vikings,Josh Oliver,TE,27.0,5,San Jose St.,62,96.0,1.2307692307692308,6.0,67.0,0.8589743589743589,5.0,659.0,8.448717948717949,76.0,327.35,4.196794871794872,33.0,7.0,0.08974358974358974,1.0,2940.1,37.69358974358974,100.0,2.0,0.02564102564102564,1.0,1.0,0.01282051282051282,1.0
Vikings,Johnny Mundt,TE,30.0,7,Oregon,92,80.0,0.7142857142857143,7.0,62.0,0.5535714285714286,5.0,518.0,4.625,58.0,306.02,2.7323214285714283,23.0,3.0,0.026785714285714284,1.0,3303.8,29.498214285714287,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Packers,Tucker Kraft,TE,24.0,1,South Dakota St.,28,82.0,2.9285714285714284,9.0,61.0,2.1785714285714284,6.0,757.0,27.035714285714285,88.0,242.24,8.651428571428571,26.0,8.0,0.2857142857142857,2.0,1588.5,56.732142857142854,100.0,1.0,0.03571428571428571,1.0,1.0,0.03571428571428571,1.0
Commanders,John Bates,TE,27.0,3,Boise St.,61,83.0,1.3387096774193548,6.0,58.0,0.9354838709677419,4.0,559.0,9.016129032258064,46.0,303.92,4.901935483870968,29.0,2.0,0.03225806451612903,1.0,2561.8,41.31935483870968,100.0,2.0,0.03225806451612903,1.0,0.0,0.0,0.0
Giants,Daniel Bellinger,TE,24.0,2,San Diego St.,40,66.0,1.4666666666666666,5.0,58.0,1.288888888888889,5.0,554.0,12.311111111111112,43.0,247.4,5.497777777777778,17.0,2.0,0.044444444444444446,1.0,2418.4,53.742222222222225,100.0,1.0,0.022222222222222223,1.0,1.0,0.022222222222222223,1.0
Lions,Brock Wright,TE,26.0,3,Notre Dame,52,69.0,1.1129032258064515,5.0,55.0,0.8870967741935484,4.0,511.0,8.241935483870968,57.0,300.91,4.853387096774194,51.0,9.0,0.14516129032258066,2.0,2815.1,45.40483870967742,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Giants,Chris Manhertz,TE,32.0,8,Canisius,131,42.0,0.3,2.0,27.0,0.19285714285714287,2.0,273.0,1.95,50.0,265.5,1.8964285714285714,50.0,3.0,0.02142857142857143,1.0,2300.0,16.428571428571427,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Eagles,Grant Calcaterra,TE,26.0,2,OklahomaSMU,40,32.0,0.7272727272727273,5.0,26.0,0.5909090909090909,5.0,336.0,7.636363636363637,67.0,182.07999999999998,4.138181818181818,40.0,0.0,0.0,0.0,1200.0,27.272727272727273,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Giants,Theo Johnson,TE,23.0,Rook,Penn St.,11,38.0,3.4545454545454546,6.0,24.0,2.1818181818181817,5.0,277.0,25.181818181818183,51.0,107.52,9.774545454545454,18.0,1.0,0.09090909090909091,1.0,600.0,54.54545454545455,100.0,,,,,,
Cowboys,Luke Schoonmaker,TE,26.0,1,Michigan,27,36.0,1.3333333333333333,10.0,22.0,0.8148148148148148,6.0,177.0,6.555555555555555,56.0,83.0,3.074074074074074,13.0,2.0,0.07407407407407407,1.0,910.0,33.7037037037037,100.0,,,,,,
Lions,Shane Zylstra,TE,28.0,3,Minnesota St.,23,23.0,0.3770491803278688,6.0,15.0,0.2459016393442623,5.0,116.0,1.901639344262295,26.0,77.2,1.2655737704918033,22.0,4.0,0.06557377049180328,3.0,766.6,12.567213114754098,100.0,,,,,,
Packers,Ben Sims,TE,24.0,1,Baylor,28,10.0,0.35714285714285715,2.0,7.0,0.25,2.0,61.0,2.1785714285714284,38.0,42.0,1.5,19.0,1.0,0.03571428571428571,1.0,600.0,21.428571428571427,100.0,,,,,,
Cowboys,Brevyn Spann-Ford,TE,25.0,Rook,Minnesota,10,11.0,1.1,5.0,6.0,0.6,4.0,62.0,6.2,42.0,20.5,2.05,10.5,0.0,0.0,0.0,146.7,14.669999999999998,80.0,,,,,,
Commanders,Ben Sinnott,TE,22.0,Rook,Kansas St.,11,3.0,0.2727272727272727,2.0,3.0,0.2727272727272727,2.0,18.0,1.6363636363636365,12.0,15.0,1.3636363636363635,12.0,1.0,0.09090909090909091,1.0,200.0,18.181818181818183,100.0,,,,,,
