Team,Player,Position,Age,Experience,College,Games_Played,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Fmb_total,Fmb_avg,Fmb_max,FL_total,FL_avg,FL_max
Bears,Keenan Allen,WR,32.0,11,California,147,1357.0,7.218085106382978,20.0,930.0,4.946808510638298,18.0,10771.0,57.29255319148936,215.0,1709.89,9.095159574468086,27.6,61.0,0.324468085106383,2.0,9927.6,52.806382978723406,100.0,16.0,0.0851063829787234,2.0,10.0,0.05319148936170213,2.0
Buccaneers,Mike Evans,WR,31.0,10,Texas A&M,163,1372.0,7.885057471264368,19.0,793.0,4.557471264367816,12.0,12083.0,69.44252873563218,209.0,2444.37,14.048103448275862,61.0,100.0,0.5747126436781609,3.0,9560.9,54.947701149425285,100.0,4.0,0.022988505747126436,1.0,2.0,0.011494252873563218,1.0
Seahawks,Tyler Lockett,WR,32.0,9,Kansas St.,155,923.0,5.841772151898734,20.0,650.0,4.113924050632911,15.0,8489.0,53.72784810126582,200.0,2050.85,12.98006329113924,52.0,61.0,0.3860759493670886,3.0,10743.7,67.99810126582278,100.0,8.0,0.05063291139240506,1.0,3.0,0.0189873417721519,1.0
Panthers,Adam Thielen,WR,34.0,10,Minnesota St.,157,929.0,5.339080459770115,19.0,648.0,3.7241379310344827,14.0,7862.0,45.18390804597701,202.0,1578.88,9.074022988505748,30.0,60.0,0.3448275862068966,2.0,9221.2,52.99540229885058,100.0,9.0,0.05172413793103448,1.0,4.0,0.022988505747126436,1.0
Rams,Cooper Kupp,WR,31.0,7,Eastern Washington,100,868.0,6.888888888888889,21.0,622.0,4.936507936507937,14.0,7614.0,60.42857142857143,220.0,1202.14,9.54079365079365,31.43,56.0,0.4444444444444444,2.0,7137.7,56.6484126984127,100.0,8.0,0.06349206349206349,2.0,3.0,0.023809523809523808,1.0
Lions,Allen Robinson,WR,31.0,10,Penn St.,134,955.0,5.488505747126437,16.0,564.0,3.2413793103448274,10.0,7037.0,40.44252873563219,155.0,1519.14,8.730689655172414,27.0,43.0,0.2471264367816092,3.0,7603.0,43.695402298850574,100.0,2.0,0.011494252873563218,1.0,1.0,0.005747126436781609,1.0
Cowboys,CeeDee Lamb,WR,25.0,4,Oklahoma,76,674.0,8.753246753246753,17.0,462.0,6.0,13.0,5919.0,76.87012987012987,227.0,989.16,12.846233766233766,23.0,36.0,0.4675324675324675,2.0,5295.7,68.77532467532467,100.0,6.0,0.07792207792207792,1.0,4.0,0.05194805194805195,1.0
Vikings,Justin Jefferson,WR,25.0,4,LSU,71,667.0,8.551282051282051,16.0,453.0,5.8076923076923075,12.0,6838.0,87.66666666666667,223.0,1066.83,13.677307692307691,33.25,35.0,0.44871794871794873,2.0,4794.6,61.469230769230776,100.0,4.0,0.05128205128205128,1.0,2.0,0.02564102564102564,1.0
Commanders,Terry McLaurin,WR,29.0,5,Ohio St.,91,677.0,7.202127659574468,14.0,426.0,4.531914893617022,11.0,6004.0,63.87234042553192,141.0,1271.51,13.526702127659574,29.0,31.0,0.32978723404255317,2.0,5691.8,60.55106382978724,100.0,3.0,0.031914893617021274,1.0,2.0,0.02127659574468085,1.0
Buccaneers,Sterling Shepard,WR,31.0,8,Oklahoma,99,600.0,4.225352112676056,16.0,393.0,2.767605633802817,11.0,4277.0,30.119718309859156,167.0,963.7,6.7866197183098596,35.5,24.0,0.16901408450704225,1.0,5895.3,41.51619718309859,100.0,3.0,0.02112676056338028,1.0,1.0,0.007042253521126761,1.0
49ers,Deebo Samuel,WR,28.0,5,South Carolina,77,485.0,5.159574468085107,13.0,317.0,3.372340425531915,11.0,4633.0,49.287234042553195,189.0,1050.58,11.176382978723403,34.0,20.0,0.2127659574468085,2.0,4860.7,51.7095744680851,100.0,10.0,0.10638297872340426,2.0,5.0,0.05319148936170213,1.0
Cardinals,Zay Jones,WR,29.0,7,East Carolina,109,498.0,3.9523809523809526,14.0,288.0,2.2857142857142856,11.0,3031.0,24.055555555555557,145.0,993.82,7.8874603174603175,43.0,18.0,0.14285714285714285,3.0,5741.2,45.56507936507936,100.0,2.0,0.015873015873015872,1.0,1.0,0.007936507936507936,1.0
